query,positive,negative
"
If the obligor of a monetary debt cannot pay on the time of performance due to force majeure, the obligor of the monetary debt does not bear responsibility of delay in performance.
","(1) The amount of the compensation for loss or damage for failure to perform an obligation to deliver money is determined with reference to the statutory interest rate as of the time when the obligor first assumes the responsibility for the delay; provided, however, that if the agreed-upon interest rate exceeds the statutory interest rate, the agreed-upon interest rate prevails.
(2) The obligee is not be required to prove loss or damage with respect to the compensation for loss or damage referred to in the preceding paragraph.
(3) The obligor may not raise the defense of force majeure with respect to the compensation for loss or damage referred to in paragraph (1).","A landowner may install boundary markers, sharing the expenses with the owner of the neighboring land."
"
Until the principal obligor offsets with a possessed claim, the guarantor cannot raise a defense vis-a-vis the obligee by setting off any claim.
","(1) The postponement of expiry of prescription period and the renewal of prescription period due to grounds such as a request for performance in relation to the principal obligor are also effective in relation to the guarantor.
(2) A guarantor may assert against the obligee a defense that can be raised by the principal obligor.
(3) If the principal obligor has a right to set-off, right to rescind or right to cancel against the obligee, the guarantor may refuse to perform the obligation to the obligee to the extent that the principal obligor should have been released from the obligation by exercising these rights.",The benefits of the prescription may not be waived in advance.
"
In cases where, after jointly borrowing 1,000,000 yen from two money lenders one of the jointly and several obligors rescinds the contract for reasons that he or she is an adult ward, the other jointly and several obligors is revoked of the portion of the obligation of the adult ward.
","Even if there are grounds for the invalidity or rescission of a juridical act with respect to one of the joint and several obligors, the validity of the obligation of other joint and several obligor is not impaired.","If a performance included in the subject matter of a claim is impossible, and the impossibility is by negligence of the party that has the right to choose, the claim exists to the extent of the remaining performances."
"
A bearer of a receipt, regardless of the subjective conditions of the performer regarding that person's authority, is deemed to have the authority to accept performance.
",Performance made to a person that does not constitute a person authorized to accept the performance (meaning the obligee or a third party authorized to accept performance based on the provisions of laws and regulations or the manifestation of intention of the parties; the same applies hereinafter) but that appears to be the person authorized to accept the performance in light of common sense in the transaction is effective only if the person effecting performance was acting in good faith and without negligence.,"(1) The deposit under the provisions of the preceding Article must be made with the official depository having jurisdiction over the place where the relevant obligation is performed.
(2) If there is no specific provision in laws and regulations with respect to the official depository, the court, at the request of the performer, must designate the depository and appoint a custodian of the thing to be deposited.
(3) A person that has effected a deposit pursuant to the provisions of the preceding Article must notify the obligee of the deposit without delay."
"
In cases where the claim whose period of extinctive prescription has passed is in a state of offset with and the opposing claim possessed by the obligor before the period has passed, the obligor that possess the claim whose period of extinctive prescription has passed can perform the offset regardless of whether the invocation of prescription is made before the period of extinctive prescription has passed or after.
","If a guarantor has given a guarantee as requested by the principal obligor, the guarantor may exercise in advance the right to reimbursement against the principal obligor if:","If the borrower has become unable to return things in the same kind, quality and quantity as that of the things the borrower received from the lender, the borrower must reimburse the current value of the things; provided, however, that this does not apply in the cases provided for in Article 402, paragraph (2)."
"
In cases where the subject of a sale has a latent defect, if the buyer cannot achieve the purpose of the contrac due to the existence of the defect, the buyer can cancel the contract.
",The provisions of the preceding two Articles do not preclude the buyer from claiming compensation for loss or damage pursuant to the provisions of Article 415 or exercising the right to cancel pursuant to the provisions of Articles 541 and 542.,"Deleted
Subsection 2 Neighboring Relationships"
"
In cases where the subject of a sale has a latent defect, if the buyer cannot achieve the purpose of the contrac due to the existence of the defect, the buyer can cancel the contract.
","If one of the parties does not perform that party's obligation, and the other party demands performance of that obligation, specifying a reasonable period of time, but no performance is completed during that period, the other party may cancel the contract; provided, however, that this does not apply if the non-performance of the obligations upon the passage of the period is minor in light of the contract and the common sense in the transaction.",A contract for work become effective when one of the parties promises to complete work and the other party promises to pay remuneration for the outcome of the work.
"
In cases where the subject of a sale has a latent defect, if the buyer cannot achieve the purpose of the contrac due to the existence of the defect, the buyer can cancel the contract.
","(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:","If the obligee exercises the subrogor's right, and the subject matter of the subrogor's right is the payment of money or delivery of movables, the obligee may demand that the other party make the payment or delivery to the obligee. In such a case, if the other party makes the payment or delivery to the obligee, the subrogor's right is extinguished thereby."
"
In cases where the subject of a sale has a latent defect and the buyer can cancel the contract due to that reason, along with the cancellation of the contract, the buyer can demand the seller to compensate damages.
",The provisions of the preceding two Articles do not preclude the buyer from claiming compensation for loss or damage pursuant to the provisions of Article 415 or exercising the right to cancel pursuant to the provisions of Articles 541 and 542.,"(1) A successor to a possessor may, as the successor chooses, assert either the successor's own possession only, or the successor's own possession together with that of the predecessor.
(2) If a person asserts the possession of the predecessor together with the person's own, that person also succeeds to defects in the same."
"
In cases where the subject of a sale has a latent defect and the buyer can cancel the contract due to that reason, along with the cancellation of the contract, the buyer can demand the seller to compensate damages.
","If one of the parties does not perform that party's obligation, and the other party demands performance of that obligation, specifying a reasonable period of time, but no performance is completed during that period, the other party may cancel the contract; provided, however, that this does not apply if the non-performance of the obligations upon the passage of the period is minor in light of the contract and the common sense in the transaction.","When carrying out a construction referred to in the preceding Article near a boundary line, necessary care must be taken to ensure the prevention of earth collapses or leakages of water or contaminated liquids."
"
In cases where the subject of a sale has a latent defect and the buyer can cancel the contract due to that reason, along with the cancellation of the contract, the buyer can demand the seller to compensate damages.
","(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:","(1) If a person (hereinafter in this Article referred to as ""processor"") adds labor to another person's movables, the ownership of the processed thing belongs to the owner of the material; provided, however, that if the value derived from the work significantly exceeds the value of the material, the processor acquires ownership of the processed thing.
(2) In the cases prescribed in the preceding paragraph, if the processor provides a portion of the materials, the processor acquires ownership of the processed thing only if the value of provided materials added to the value derived from the labor exceeds the value of the other person's materials."
"
In cases where the subject of a sale has a latent defect and the buyer can cancel the contract due to that reason, along with the cancellation of the contract, the buyer can demand the seller to compensate damages.
","(1) If an obligor fails to perform consistent with the purpose of the obligation or the performance of an obligation is impossible, the obligee may claim compensation for loss or damage arising from the failure; provided, however, that this does not apply if the failure to perform the obligation is due to grounds not attributable to the obligor in light of the contract or other sources of obligation and the common sense in the transaction.
(2) If the obligee is entitled to claim compensation for loss or damage pursuant to the provisions of the preceding paragraph, and any of the following cases applies, the obligee may claim compensation for loss or damage in lieu of the performance of the obligation:","If after the guarantor makes a request or gives proof pursuant to the provisions of Article 452 or Article 453, the obligee fails to demand or to levy execution and becomes unable to obtain full performance from the principal obligor as a result of that, the guarantor is released from the obligation to the extent that the obligee would have received payment if the obligee had immediately demanded or levied execution."
"
In cases where the buyer demands the seller to cancel the contract and compensation for damages based on warranty against defects, the buyer must do this within one year of the formation of the contract of sale.
","If the subject matter delivered by the seller to the buyer does not conform to the terms of the contract with respect to the kind or quality, and the buyer fails to notify the seller of the non-conformity within one year from the time when the buyer becomes aware of it, the buyer may not demand cure of the non-conformity of performance, demand a reduction of the price, claim compensation for loss or damage, or cancel the contract, on the grounds of the non-conformity; provided, however, that this does not apply if the seller knew or did not know due to gross negligence the non-conformity at the time of the delivery.",The prescription under the provisions of Article 162 is renewed if the possessor discontinues the possession voluntarily or is deprived of that possession by another person.
"
In cases where a compulsory auction was conducted for a used building, the purchaser of the building can demand the original building owner to compensate damages due to the reason that the building has a latent defect.
","(1) The successful bidder at an auction based on the provisions of the Civil Execution Act and other laws (hereinafter referred to as an ""auction"" in this Article) may cancel the contract or demand a reduction of the price against the obligor pursuant to the provisions of Articles 541 and 542 and the provisions of Article 563 (including as applied mutatis mutandis pursuant to Article 565).
(2) In the cases referred to in the preceding paragraph, if the obligor is insolvent, the successful bidder may demand total or partial reimbursement of the proceeds against the obligees that received the distribution of the proceeds.
(3) In the cases set forth in the preceding two paragraphs, if obligors knew of the absence of the object or right and did not disclose the same, or if obligees knew of the absence but demanded an auction, the successful bidder may claim compensation for loss or damage against those persons.
(4) The provisions of the preceding three paragraphs do not apply to the non-conformity with respect to the kind or quality of the subject matter of an auction.","(1) If the performance of an obligation becomes impossible due to grounds not attributable to either party during a period in which the obligor is liable for delay in performance of the obligation, the impossibility of performance is deemed to be due to grounds attributable to the obligor.
(2) If the obligee refuses or is unable to accept the performance of an obligation, and the performance of the obligation becomes impossible due to grounds not attributable to either party after the obligor's tender of the performance, the impossibility of performance is deemed to be due to grounds attributable to the obligee."
"
In cases where a portion of purchased land is owned by a person other than the seller, and the buyer knows this at the time when the contract is concluded, if the seller cannot transfer this to the buyer, the buyer cannot demand the seller
",The provisions of the preceding three Articles apply mutatis mutandis if the right transferred by the seller to the buyer does not conform to the terms of the contract (including the case in which the seller fails to transfer part of a right that belongs to another person).,"(1) If one of the joint and several obligors performs the obligation or otherwise obtain a common discharge in exchange for that obligor's own property, the joint and several obligor has the right to reimbursement from other joint and several obligors for the amounts in proportion to their respective shares of the obligation of the amount of the property expended by the joint and several obligor in order to obtain the discharge (if the amount of property exceeds the amount after the common discharge, the amount thus discharged), regardless of whether the amount discharged exceeds the amount of the joint and several obligor's own share.
(2) The reimbursement under the provisions of the preceding paragraph includes the compensation of the statutory interest which accrues on or after the day of the performance of the obligation or other discharge, and the compensation for unavoidable expenses and other loss or damage."
"
In cases where a portion of purchased land is owned by a person other than the seller, and the buyer knows this at the time when the contract is concluded, if the seller cannot transfer this to the buyer, the buyer cannot demand the seller
","(1) In the case prescribed in the main clause of paragraph (1) of the preceding Article, if the buyer demands that the seller cure the non-conformity of performance by specifying a reasonable period of time but the non-conformity of performance is not cured within that period, the buyer may request a reduction of the price in proportion to the degree of non-conformity.
(2) Notwithstanding the provisions of the preceding paragraph, in the following cases, a buyer in good faith may request a reduction of the price immediately without making demand referred to in that paragraph:
(3) If the non-conformity referred to in paragraph (1) is due to grounds attributable to the buyer, the buyer may not request a reduction of the price under the provisions of the preceding two paragraphs.","(1) The postponement of the expiry of prescription period or the renewal of prescription period under the provisions of Article 147 or Article 148 is effective only between the parties with respect to whom grounds to postpone the expiry of prescription period or to renew prescription period have arisen and their successors.
(2) The postponement of expiry of prescription period under the provisions of Articles 149 through 151 is effective only between the parties with respect to whom grounds to postpone the expiry of prescription period have arisen and their successors.
(3) The renewal of prescription period under the provisions of the preceding Article is effective only between the parties with respect to whom grounds to renew prescription period have arisen and their successors."
"
In cases where person A is responsible for an obligation toward person B, and performs the entire obligation while knowing that it is before the time of performance, if person B acquires benefit by operating it until the time of performance, the benefit is deemed unjust enrichment in regards to the relationship with person A.
","If an obligor has paid money or delivered anything as performance of an obligation that has not yet fallen due, the obligor may not demand the return of the money paid or thing delivered; provided, however, that if the obligor tendered anything by mistake, the obligee must return the benefit gained as a result.","Ratification is retroactive to the time of the conclusion of the contract unless a particular intention is manifested; provided, however, that this may not prejudice the rights of a third party."
"
Any person who has insufficient capacity to appreciate right or wrong due to any mental disability may not request a ruling of commencement of assistance in person.
","(1) The family court may decide to commence an assistance in respect of a person whose capacity to appreciate their own situation is inadequate due to a mental disorder, at the request of the person in question, that person's spouse, that person's relative within the fourth degree of kinship, the guardian, the guardian's supervisor, the curator, the curator's supervisor, or a public prosecutor; provided, however, that this does not apply to a person with respect to whom there are grounds as prescribed in Article 7 or the main clause of Article 11.
(2) The issuance of a decision for commencement of assistance at the request of a person other than the person in question requires the consent of the person in question.
(3) A decision for commencement of assistance must be made concurrent with a decision as referred to in Article 17, paragraph (1) or a decision as referred to in Article 876-9, paragraph (1).","(1) If the special agreement on redemption is registered simultaneously with the contract for sale, the redemption may be duly asserted against third parties.
(2) The rights of a lessee that satisfies the requirements for perfection prescribed in Article 605-2, paragraph (1) after the registration referred to in the preceding paragraph is completed may be duly asserted against the seller while the lease remains effective, limited to a period not exceeding one year; provided, however, that this does not apply if the lease is entered into with the purpose of harming the seller."
"
With respect to any act which requires the consent of the curator, if the curator does not give consent in cases where the interest of the person under curatorship is unlikely to be prejudiced, the person under curatorship may make a claim to the family court for a permission in lieu of the consent of the curator.
","(1) A person under curatorship must obtain the consent of the curator in order to perform any of the following acts; provided, however, that this does not apply to an act provided for in the proviso of Article 9:
(2) At the request of a person as referred to in the main clause of Article 11 or the curator or curator's supervisor, the family court may decide that the person under curatorship must also obtain the consent of the curator before performing an act other than those set forth in each of the items of the preceding paragraph; provided, however, that this does not apply to an act provided for in the proviso to Article 9.
(3) If the curator does not consent to an act for which the person under curatorship must obtain the curator's consent even though it is unlikely to prejudice the interests of the person under curatorship, the family court may grant permission that operates in lieu of the curator's consent at the request of the person under curatorship.
(4) An act for which the person under curatorship must obtain the curator's consent is voidable if the person performs it without obtaining the curator's consent or a permission that operates in lieu of it.","(1) Having received proof that a missing person is alive or that a missing person died at a time different from the time set forth in the preceding Article, the family court, at the request of the missing person or an interested person, must rescind the declaration of that person's disappearance. In this case, the rescission does not affect the validity of any act performed in good faith after the declaration of disappearance but before the rescission thereof.
(2) A person who has acquired property due to a declaration of disappearance loses the rights in question due to its rescission; provided, however, that the person has the obligation to return that property only to the extent currently enriched."
"
In cases any ruling for commencement of guardianship to a person under assistance is to be made, the family court need not to rescind the ruling of commencement of assistance pertaining to such person.
","(1) If the family court decides to commence a guardianship and the person in question is a person under curatorship or a person under assistance, it must rescind the decision for commencement of the curatorship or commencement of assistance respecting that person.
(2) The provisions of the preceding paragraph apply mutatis mutandis if the court decides to commence a curatorship and the person in question is an adult ward or a person under assistance or if the court decides to commence an assistance and the person in question is an adult ward or a person under curatorship.","(1) If more than one person has inflicted damage on another person by a joint tort, each of them is jointly and severally liable to compensate for the damage. The same applies if it cannot be ascertained which of the joint tortfeasors inflicted the damage.
(2) A person who has abetted or aided a perpetrator is deemed to be a joint tortfeasor, and the provisions of the preceding paragraph apply."
"
With respect to contracts concluded by the person with limited capacity, if the person with limited capacity and the statutory agent have the right to rescind, the counterparty also has.
","(1) An act that is voidable on the grounds of the qualified legal capacity to act of the person who did the act may be rescinded only by the person with qualified legal capacity (in the case of an act performed by the person as a legal representative of another person with limited capacity, including that other person with limited capacity), or an agent or successor thereof, or a person who has the authority to give consent thereto.
(2) An act that is voidable on the grounds of a mistake, fraud or duress may be rescinded only by the person who made the defective manifestation of intention, or an agent or successor thereof.","(1) The principal secured by a revolving mortgage is crystallized in the following cases:
(2) If the commencement of auction procedures, the attachment under item (iii) of the preceding paragraph or the order commencing bankruptcy proceeding under item (iv) of that paragraph ceases to be effective, it is deemed that the principal secured was not crystallized; provided, however, that this does not apply if a person has acquired that revolving mortgage or a right for which the revolving mortgage is the subject matter on the assumption that the principal was crystallized."
"
In cases where the adult concluded a contract, and later, he/she became subject to the ruling of commencement of guardianship,the gurdian of adult may rescind the contract by proving that there is a ground for commencement of guardinaship.
","(1) An act that is voidable on the grounds of the qualified legal capacity to act of the person who did the act may be rescinded only by the person with qualified legal capacity (in the case of an act performed by the person as a legal representative of another person with limited capacity, including that other person with limited capacity), or an agent or successor thereof, or a person who has the authority to give consent thereto.
(2) An act that is voidable on the grounds of a mistake, fraud or duress may be rescinded only by the person who made the defective manifestation of intention, or an agent or successor thereof.",Statutory liens may not be exercised against the movables that are the subject matter of the same after the obligors have delivered those movables to third party acquirers.
"
In cases where a person with limited capacity manipulates any fraudulent means to induce others to believe that he/she is a person with capacity, his/her jusistic act has effect even if there is a mistake in any element of the juristic act in question.
","If a person with qualified legal capacity uses fraudulent means to induce another person to believe that the person is a person with legal capacity to act, the person may not rescind the act in question.",An employment contract becomes effective when a first party promises to a second party that the first party will engage in work and the second party promises to pay remuneration for this.
"
A manifestation of intention made by a third party to an agent representing that tha same is made on behalf of the principal binds the principal, even if an agent recieves the same with no indication that it is made on behalf of the principal.
","(1) A manifestation of intention that an agent makes indicating that they will be making a manifestation of intention on behalf of the principal within the scope of the agent's authority binds the principal directly.
(2) The provisions of the preceding paragraph apply mutatis mutandis to a manifestation of intention that a third party makes to an agent.","The court may not make a judicial decision relying on prescription unless a party (in the case of extinctive prescription, including a guarantor, third-party collateral provider, third party acquirer, or any other person with a legitimate interest in the extinction of a right) invokes it."
"
The authority of agency shall be terminated when the agent is subject to an order for the commencement of guardianship.
","(1) The authority to represent ceases to exist upon:
(2) The authority to represent by mandate ceases to exist, other than on the grounds set forth in the respective items of the preceding paragraph, upon the termination of the mandate.","Gifts not in writing may be cancelled by either party; provided, however, that this does not apply to a portion of the gift for which performance has been completed."
"
In cases the validity of a manifestation of intention should be affected by knowing any paricular circumstance, whether or not such fact existed shall, at the election of the principal, be determined with eigther the principal or the agent.
","(1) If the validity of a manifestation of intention that an agent has made to the other party is to be influenced by the absence of intention; by mistake, fraud, or duress; or by the knowledge of or negligence in not knowing of a particular circumstance; whether or not any such fact was present is decided as it concerns the agent.
(2) If the validity of a manifestation of intention that the other party has made to the agent is to be influenced by the recipient's knowledge of or negligence in not knowing of a particular circumstance, whether or not any such fact was present is decided as it concerns the agent.
(3) If an agent who has been entrusted with performing a specific juridical act performs that act, the principal may not assert that the agent did not know of any particular circumstance of which the principal knew. The same applies to any circumstance of which the principal did not know due to the principal's own negligence.","Even if there are grounds for the invalidity or rescission of a juridical act with respect to one of the joint and several obligors, the validity of the obligation of other joint and several obligor is not impaired."
"
In cases where the principal ratifies the contract concluded by a person without authority of agency, the contract shall be effective toward the future from the time of the rarification, unless other intention is manifested.
","Ratification is retroactive to the time of the conclusion of the contract unless a particular intention is manifested; provided, however, that this may not prejudice the rights of a third party.","(1) A preparer of the standard terms that conducts or seeks to conduct a standard transaction must disclose the details of the standard terms of contract by a reasonable method without delay if the counterparty requests this within a reasonable period of time before or after an agreement on standard transaction is made; provided, however, that this does not apply if the preparer has already delivered to the counterparty a document that contains the standard terms of contract or provided the other party with an electronic or magnetic record that contains the same.
(2) The provisions of the preceding Article do not apply if the preparer of the standard terms of contract refuses the request referred to in the preceding paragraph before an agreement on standard transaction is made; provided, however, that this does not apply if a temporary communication failure takes place or the preparer has a legitimate reason to refuse it."
"
A privately appointed agent shall not be responsible vis-a-vis the principal for the appointment and supervision of such sub-agent if it appointed the sub-agent in accordance with the nomination by the principal: provided, however, that, this shall not apply to the cases where the agent knows that the sub-agent is untrustworthy, and fails to notify the principal thereof or to dismiss the sub-agent.
","A legal representative may appoint a subagent on its own responsibility. In such a case, if there is a compelling reason to do so, the legal representative is only liable to the principal for the appointment and supervision of the subagent.","(1) The scope of the claims to be secured by a revolving mortgage may be changed if the change is effected before the principal is crystallized. The same applies with respect to change of obligors.
(2) In order to effect the changes referred to in the preceding paragraph, it is not required that the approval of third parties including subordinated mortgagee be obtained.
(3) If the change under paragraph (1) is not registered before the principal is crystallized, it is deemed that the change was not effected."
"
(A) broke into a stranger (B)'s house to steal B's seal and documents relating to registration, and forged the proxy which is manifested that B granted certain authority of agency to A in order to sell B's real property.
In such case, B shall not be liable for the contract concluded by A as a agent of B that B sells his/her real property to (C), even if C knew, or were negligent in not knowing, that A was not granted the authority of agency.
","(1) A person who indicates to a third party that the person granted certain authority to represent to another person is liable for an act performed between that other person and that third party within the scope of the authority to represent; provided, however, that this does not apply if the third party knew or did not know due to negligence that the other person has not been granted the authority to represent.
(2) If a person who indicates to a third party that the person granted authority to represent to another person is, pursuant to the provisions of the preceding paragraph, liable for acts performed by that other person in relation to the third party within the scope of the authority to represent, and the other person performs in relation to the third party an act beyond the scope of the authority to represent, the person who makes the indication is liable for that act only if the third party has reasonable grounds for believing that the other person has authority to represent in that act.","(1) A person that holds a right with respect to property in co-ownership and a creditor of any of the co-owners may participate in partitions at their own expense.
(2) If, notwithstanding a request for participation under the provisions of the preceding paragraph, partition is effected without allowing the participation of the person that submitted the request, that partition may not be duly asserted against the person that submitted the request."
"
A contract concluded by a person without any authority of agency may not be rescined by the counterparty who knew that the agent had no authority of agency at the time of the conclusion of the contract, even before the principal ratifies it.
","A counterparty may rescind a contract that a person without the authority to represent has concluded until the principal ratifies it; provided, however, that this does not apply if the counterparty knew at the time of the conclusion of the contract that the agent had no authority to represent.","(1) Accounts as between the withdrawing partner and other partners must be settled according to the status of the partnership property as at the time of the withdrawal.
(2) The interest of the withdrawing partner may be refunded in money, regardless of the kind of the withdrawing partner's contribution.
(3) With respect to any matter not yet completed at the time of the withdrawal, accounts may be made up subsequent to the completion of that matter."
"
If an unauthorized argent is unable to obtain the ratification of the principal, the counterparty who did not konw and without negligence in not knowing that the agent had no authorigy of agency claim damages against him/her.
","(1) A person who concludes a contract as an agent of another person is liable to the counterparty for the performance of the contract or compensation for loss or damage, as chosen by the counterparty, unless the person proves the authority to represent or the principal ratifies the contract.
(2) The provisions of the preceding paragraph do not apply in the following cases:",The provisions of Article 533 apply mutatis mutandis to the preceding Article.
"
In cases where it is already established conclusively at the time of the performance of the applicable juristic act that a certain condition will not be fulfilled, if such condition is a condition subsequent, such juristic act shall be unconditional; on the other hand, if such condition is a condition precedent, such juristic act shall be void.
","(1) If a condition has already been fulfilled at the time of a juridical act and that condition is a condition precedent, the juridical act constitutes an unconditional juridical act; if that condition is a condition subsequent, the juridical act is void.
(2) If it has already been established at the time of a juridical act that a condition will not be fulfilled and that condition is a condition precedent, the juridical act is void; if that condition is a condition subsequent, the juridical act constitutes an unconditional act.
(3) In the cases referred to in the provisions of the preceding two paragraphs, the provisions of Article 128 and Article 129 apply mutatis mutandis until the relevant party becomes aware that the condition has been or has not been fulfilled.","An owner has the rights to freely use, profit from and dispose of the thing owned, within the limits of laws and regulations."
"
Juristic act which is subject to an unlawful condition shall be void, however jusistic act which is subject to the condition that an unlawful act not be performed shall not be void.
",A juridical act subject to an unlawful condition is void. The same applies to a juridical act subject to the condition that an unlawful act not be performed.,"If a claim is due and, notwithstanding a demand by the counterparty specifying a reasonable period of time, the party that holds the right to choose does not exercise the right within that period of time, the right to choose is transferred to the counterparty."
"
Conditional rights may not be inherited while it is uncertain whether or not such condition has been fulfilled.
","While it is uncertain whether or not a condition will be fulfilled, the rights and obligations of the party concerned may be disposed of, inherited or preserved, or a security may be provided therefor, in accordance with the general provisions.","When a period is provided for in hours, the period commences immediately at the specified time."
"
In cases where the obligor who has the debt by oneself was dead and there are more than one heirs, the extinctive prescription of the debt shall be nullified until the time when the applicable heir is identified.
","(1) If any of the following grounds exists, the period of prescription does not expire until the ground ceases to exist (if the ground ceases to exist while the right remains undetermined by a final and binding judgment or anything that has the same effect as a final and binding judgment, until six months have passed from the time of cessation):
(2) In the case referred to in the preceding paragraph, if a right is determined by a final and binding judgment or anything that has the same effect as a final and binding judgment, a new period of prescription commences to run at the time when the grounds set forth in the items of that paragraph cease to exist;","(1) A redemption period may not exceed 10 years. If any special agreement provides for any period longer than this, that period is considered to be 10 years.
(2) If a period for the redemption is agreed upon, no further extension may be effected subsequently.
(3) If no period for the redemption is agreed upon, the redemption must be effected within five years."
"
In cases where (A) and (B) have a joint and several obligation which A bears the portion of all, the extinctive prescription of A's obligation shall not be nullified even if B acknowledge B's obligation to the obligee; therefore, B also shall be relieved of the obligation if the extinctive prescription is completed.
","Except in cases prescribed in Articles 438, Article 439, paragraph (1), and the preceding Article, any circumstances which have arisen with respect to one of the joint and several obligors is not effective in relation to other joint and several obligors; provided, however, that if the obligee and one of the other joint and several obligors manifest a different intention, their intention prevails with respect to the effect in relation to the remaining other joint and several obligees.","(1) If one of the parties exercises the right to cancel, each party assumes an obligation to restore the other party to that other party's original state; provided, however, that this may not prejudice the rights of a third party.
(2) In the case referred to in the main clause of the preceding paragraph, if any monies are to be refunded, interest must accrue from the time of the receipt of those monies.
(3) In the case referred to in the main clause of paragraph (1), if a thing other than money is to be returned, fruits that have accrued on or after the time of the receipt of the thing must also be returned.
(4) The exercise of the right to cancel does not preclude claims for compensation for loss or damage."
"
In cases where (A) and (B) is a married couple, if A engages in juristic act with (C) in the single name of oneself regarding everyday household matters, the extinctive prescription of C's credit against B shall be nullified upon the judical claim of C's credit against B.
","Except in cases prescribed in Articles 438, Article 439, paragraph (1), and the preceding Article, any circumstances which have arisen with respect to one of the joint and several obligors is not effective in relation to other joint and several obligors; provided, however, that if the obligee and one of the other joint and several obligors manifest a different intention, their intention prevails with respect to the effect in relation to the remaining other joint and several obligees.","(1) If the ownership of a thing is extinguished pursuant to the provisions of Article 242 through the preceding Article, other rights existing on that thing are also extinguished.
(2) In the cases prescribed in the preceding paragraph, if the owner of a thing has become the sole owner of the thing formed by accession or appurtenance, mixture or processing (hereinafter in this paragraph referred to as ""composite thing""), other rights existing on that thing thereafter exist on the composite thing, and if the owner of the thing becomes a co-owner of the composite thing, other rights existing on that thing thereafter exist on that owner's interest in the same."
"
If a possessor in good faith is defeated in an action on the title, he/she shall be deemed to be a possessor in bad faith as from the time when such action was brought.
89-2
","(1) A possessor in good faith acquires fruits derived from the thing under possession.
(2) If a possessor in good faith is defeated in an action on the title that legally supports the possession, that possessor is deemed to be a possessor in bad faith as from the time when the action is filed.","If repairs are necessary for the leased thing, the lessee may make repairs in the following cases:"
"
An obligee (B) against (A) may demand the court against (D) who succeeds to benefits as defendant to rescind the gift from A to (C) by the reason of fraudulent act, if D knew, at the time of the gift, the fact that B is to be prejudiced.
","(1) An obligee may demand the court to rescind an act which the obligor commits knowing that it will prejudice the obligee; provided, however, that this does not apply if a person that benefits from that act (hereinafter referred to as the ""beneficiary"" in this Subsection) does not know, at the time of the act, that the obligee will be prejudiced.
(2) The provisions of the preceding paragraph do not apply to an act with a subject matter other than property rights.
(3) The obligee may make the demand under the provisions of paragraph (1) (hereinafter referred to as ""demand for rescission of fraudulent act"") only if the obligee's claim has arisen from a cause that existed before the act prescribed in paragraph (1).
(4) The obligee may not make demand for rescission of fraudulent act if the obligee's claim is not enforceable by compulsory execution.","(1) If one of the parties has the right to cancel pursuant to the provisions of the contract or the law, the cancellation is effected by manifestation of intention to the other party.
(2) The manifestation of intention referred to in the preceding paragraph may not be revoked."
"
A claim may be extinguished by extinctive prescription; however, a real right may not.
","(1) A claim is extinguished by prescription in the following cases:
(2) A claim or property right other than ownership is extinguished by prescription if not exercised within 20 years from the time when the right became exercisable.
(3) The provisions of the preceding two paragraphs do not preclude the commencement of acquisitive prescription for the benefit of a third party that possesses the subject matter of a right with a time of commencement or a right subject to a condition precedent, at the time of commencing the possession; provided, however, that the holder of the right may demand acknowledgment from the possessor at any time to renew the prescription period.","If a thing is possessed through an agent, the principal orders that agent to thenceforward possess that thing on behalf of a third party, and that third party consents thereto, the third party acquires the possessory rights."
"
A claim may be extinguished by extinctive prescription; however, a real right may not.
","The period of the extinctive prescription provided for in Article 166, paragraph (2) commences upon the final exercise of the servitude if the servitude is not exercised continuously, and upon the occurrence of a fact that prevents the exercise of the servitude if the servitude is exercised continuously.","When all of the lessee's assets are to be liquidated, the statutory lien of the lessor exists only with respect to the rent and other obligations for the previous, current and next terms, and obligations to compensate for loss or damage that arise in the previous and current terms."
